identifier,logFC,logCPM,p-Value,FDR
LUZP1,0.711773669,3.109701484,0.046,0.40726063
CARS2,-0.596134973,5.668606706,0.046,0.407599905
C2orf61,2.358377559,-2.55609494,0.046,0.407599905
LOC102467226,3.526420413,-4.45280417,0.046,0.407599905
MIR3945HG,2.215075716,-2.034908787,0.046,0.407599905
FGF9,1.218746495,-0.455358956,0.046,0.407599905
VRTN,2.91504982,-2.679772438,0.046,0.407599905
PCDH18,1.108801278,2.539542344,0.046,0.407705991
POLR3K,-0.570449424,3.588847875,0.046,0.408128035
LINC00566,3.177643535,-4.029951167,0.046,0.409108049
AOX1,0.811998544,2.374630837,0.046,0.409108049
PDLIM7,-0.584189586,7.198391128,0.046,0.409108049
LOC102577426,-1.284751486,-1.897278955,0.046,0.40914865
USE1,-0.587579726,4.227703712,0.047,0.409601803
GINS2,-0.685499016,1.438667411,0.047,0.409601803
RAPGEF2,0.78727219,4.452779774,0.047,0.409601803
LINC01492,2.865986548,-2.936149174,0.047,0.409656372
TMEM70,-0.85492237,5.920883997,0.047,0.409656372
COX17,-0.938169521,6.728272047,0.047,0.410169126
SRRM4,1.222779742,-0.723208886,0.047,0.410169126
LOC101928295,2.466149782,-1.985265054,0.047,0.410169126
ISCA1,-0.558959679,5.425872947,0.047,0.410408237
IL18R1,0.958988557,-0.764263513,0.047,0.410408237
APOC4-APOC2,2.109990946,-2.261607438,0.047,0.410408237
MT1M,1.244308708,1.868813117,0.047,0.410408237
LMO2,-0.947124047,5.780364059,0.047,0.410408237
SCN4B,-0.551727021,5.399258048,0.047,0.410408237
RDH12,2.180469575,-2.918553035,0.047,0.410408237
FEZF2,2.751911899,-2.928049973,0.047,0.410408237
TMEM150B,1.59997665,-1.811940892,0.047,0.410408237
CPS1,0.869521972,0.291720653,0.047,0.410408237
SLC35G2,0.773017009,0.512783141,0.047,0.410408237
TPM3,-0.694250527,12.16628053,0.047,0.411061858
REG1A,3.354093052,-3.538302581,0.047,0.411061858
LINC01133,1.134400915,-0.399081986,0.047,0.411316341
AFAP1L2,0.559709826,2.81081934,0.047,0.411316341
PSENEN,-0.520932855,3.633999246,0.047,0.411415163
FAM72A,1.088916652,-0.185147585,0.047,0.411415163
LINC00467,-0.883688924,-0.107618429,0.047,0.411415163
HELLS,1.260431504,-1.601718005,0.047,0.411415163
LINC00367,2.542866266,-3.957794331,0.047,0.411415163
PLXNA4,0.613878267,2.248891051,0.047,0.411415163
C11orf73,-0.727687793,4.01174011,0.047,0.411415163
KLF7,1.100606217,3.17204087,0.048,0.411415163
YBEY,-0.819573255,3.014926438,0.048,0.411415163
OIT3,2.360207704,-2.614888931,0.048,0.411415163
LOC101929681,3.200643285,-3.188648214,0.048,0.411415163
PTPRD,0.873174541,1.489464894,0.048,0.411415163
LOC100422737,3.219320809,-3.65844985,0.048,0.411415163
LINC01411,2.350301015,-3.648877425,0.048,0.411415163
TSPAN17,-0.603681923,5.236584653,0.048,0.411415163
UGT1A10,2.276653103,-2.826949771,0.048,0.412455137
IFT22,-0.691758267,2.941459955,0.048,0.412455137
RPS10P7,-0.958062957,-0.03825877,0.048,0.412476163
DBIL5P2,2.075367739,-2.714344944,0.048,0.413152095
IFI44,1.093189358,1.972425253,0.048,0.413390963
BTK,1.017542601,-0.15943035,0.048,0.413396454
MDP1,-0.686887015,1.88526606,0.048,0.413396454
LOC284080,1.249795438,-1.593076494,0.048,0.413396454
CYP2C18,2.51660462,-3.39641049,0.048,0.413396454
FBXW12,2.004935016,-3.373906908,0.048,0.413396454
CORO7-PAM16,-0.724847599,5.371195719,0.048,0.413396454
TMEM14B,-0.613328601,5.354542041,0.048,0.413396454
POLQ,1.316136066,-0.485246455,0.048,0.414009142
AFF4,0.926217055,5.189647832,0.048,0.414009142
LHFPL4,2.300460553,-1.417533912,0.048,0.414009142
ABTB2,-0.602680166,4.866233652,0.048,0.414009142
NOMO1,-0.568057949,7.08934201,0.048,0.414009142
FHDC1,0.77741525,0.677806263,0.048,0.414033087
TRIM38,0.738926363,2.636063115,0.048,0.414281051
CTSV,0.950918398,-0.883623006,0.049,0.414281051
GATA3,0.867994128,1.246203485,0.049,0.414281051
LINCR-0002,2.917563823,-3.896947957,0.049,0.414281051
CFAP20,1.140479025,2.629848813,0.049,0.414281051
NDUFB6,-0.763781977,6.306007755,0.049,0.414281051
RASA4,-0.816797233,10.07574773,0.049,0.414350202
LOC100288798,-0.841623992,2.888958281,0.049,0.414781264
CFAP206,1.942689502,-2.740106012,0.049,0.414862634
ROR1,0.635481219,1.537469677,0.049,0.415551789
ACOT13,-0.500760862,4.414216464,0.049,0.415835469
LOC285626,2.713039871,-3.211403843,0.049,0.416090406
BANF1,-0.534769333,7.336580913,0.049,0.416345765
DCAF4L2,3.0514252,-3.168847988,0.049,0.416657885
SH3BGR,-0.673008313,8.220171481,0.049,0.416730628
OTOA,1.587122664,-1.918453465,0.049,0.416730628
CD226,1.437818589,-1.464547049,0.049,0.417612319
SLC29A4,0.892805803,1.626731427,0.049,0.417612319
RPL18,-0.660689955,8.656839309,0.049,0.417612319
PRDX3,-0.553680894,6.899511857,0.049,0.417612319
FGB,2.38913618,-2.342449692,0.049,0.417673319
TEX14,1.362069033,-1.629895895,0.049,0.41773083
FBN1,0.776329235,7.185925342,0.049,0.417957537
EPHA3,1.162299781,1.018382795,0.049,0.417957537
