identifier,logFC,logCPM,p-Value,FDR
C12orf42,3.664477524,-2.34806274,0.003,0.2032697
FOXG1,3.656324877,-1.601258792,0.003,0.2032697
HTR3A,3.64010687,-3.217576214,0.006,0.22100595
LOC644189,3.624355297,-2.776700482,0.002,0.194545554
PNPLA1,3.622192595,-2.677759941,0.009,0.246901504
LINC00880,3.605456428,-2.207494762,0.003,0.2032697
TOP1P2,3.590290952,-3.116339103,0.008,0.241718871
CAGE1,3.589128315,-2.601724073,0.003,0.2032697
LINC00670,3.579990515,-2.4088772,0.002,0.194545554
LOC101928231,3.579333563,-2.598310082,0.003,0.2032697
FAM138C,3.577801697,-1.34977515,0.003,0.2032697
RTP1,3.559728511,-1.975194623,0.005,0.210861949
LOC101928617,3.555720221,-2.159966545,0.008,0.244562119
SPAG11B,3.550725995,-3.114253902,0.01,0.254337431
LOC101927691,3.536402675,-3.131859614,0.009,0.244562119
SLC35G3,3.523012037,-2.111075766,0.003,0.2032697
BCO1,3.521675653,-2.741461659,0.005,0.217960803
SLC35G4,3.519803325,-3.287642102,0.01,0.256134303
LINC00636,3.512452997,-2.384040899,0.006,0.226755812
EPGN,3.506303467,-2.355287035,0.006,0.225551985
PTGS2,3.500423236,2.23444857,0.002,0.191234855
PGC,3.487917473,-2.920014053,0.008,0.24169571
LOC102724467,3.463816897,-3.609906072,0.008,0.24169571
LOC101928103,3.45657883,-2.722683948,0.003,0.2032697
TRPC5OS,3.453913416,-3.032386046,0.01,0.253219777
LOC338694,3.450704532,-3.923112564,0.006,0.22244025
LINC01036,3.401988978,-4.273686415,0.008,0.244562119
DLX6,3.396798318,-2.236250717,0.003,0.2032697
LINC00426,3.3966889,-3.396000825,0.005,0.220112623
CXorf65,3.380254469,-4.004039373,0.01,0.256370971
HP09025,3.366207311,-1.18956684,0.009,0.245801673
LOC389273,3.333652722,-3.753293253,0.009,0.244562119
DPCR1,3.314644763,-1.488382543,0.004,0.209322496
C5orf60,3.290248404,-2.319917879,0.002,0.191234855
PCSK1,3.279349654,-2.550747065,0.006,0.225551985
LOC494141,3.276665706,-2.768224759,0.005,0.218790221
GADD45B,3.271040098,7.499689785,0.002,0.191234855
C1orf87,3.269013334,-3.164105341,0.01,0.256134303
ANKS4B,3.250147466,-2.258139038,0.008,0.241718871
JAKMIP2,3.248366518,-1.056925638,0.002,0.191234855
LINC00266-3,3.236932569,-2.722439944,0.006,0.222452354
DRAIC,3.179706087,-3.30113471,0.006,0.220676748
TCAM1P,3.167095835,-1.514989643,0.003,0.2032697
MIR202HG,3.163300071,-3.40406283,0.006,0.224574637
SPRR2F,3.132419638,-2.602256246,0.003,0.2032697
FAM138B,3.124764043,-1.610806758,0.002,0.191234855
LINC00907,3.115972228,-1.870416882,0.004,0.209322496
CCL19,3.110644227,-2.690316503,0.002,0.192168798
ASCL1,3.095128243,-2.390782114,0.009,0.245787643
NUP210L,3.094043567,-1.109150667,0.003,0.2032697
LINC01170,3.093598535,-2.704052815,0.002,0.19683167
LINC00264,3.077153065,-2.785234792,0.003,0.2032697
ANKRD7,3.074619403,-3.32365226,0.004,0.2032697
LOC102724601,3.068219497,-3.576145429,0.004,0.209322496
SH2D6,3.063473536,-2.062636923,0.003,0.2032697
