node	type
C2748910	disease
C3150705	disease
C0022333	disease
C0149958	disease
C0234533	disease
C0234535	disease
C0270824	disease
C0270844	disease
C0270846	disease
C0422850	disease
C0422852	disease
C0422853	disease
C0422854	disease
C0422855	disease
C0494475	disease
C0751056	disease
C0751110	disease
C0751123	disease
C0751494	disease
C0751495	disease
C0751496	disease
C0796147	disease
C3495874	disease
C4048158	disease
C4316903	disease
C4317109	disease
C4317123	disease
C4505436	disease
C4305240	disease
C4749855	disease
668.0	gene
C0220663	disease
C1837008	disease
C2931135	disease
C1862262	disease
C1862263	disease
C1862264	disease
C1970106	disease
C0334401	disease
C1567257	disease
C0022548	disease
C1332218	disease
C1370419	disease
C3714208	disease
2308.0	gene
C0022578	disease
C0206655	disease
2357.0	gene
C0031099	disease
55691.0	gene
C4225193	disease
23150.0	gene
2487.0	gene
C3887876	disease
56884.0	gene
C0024713	disease
53827.0	gene
7855.0	gene
C0155299	disease
C0266551	disease
C0344516	disease
C0521573	disease
C1852767	disease
C4708599	disease
2560.0	gene
C0019147	disease
C0019151	disease
C0751197	disease
C0751198	disease
C0270496	disease
C4310691	disease
DB01236	drug
DB00818	drug
DB00273	drug
DB01028	drug
DB06119	drug
DB00794	drug
2564.0	gene
DB06753	drug
DB00292	drug
DB00753	drug
DB11859	drug
DB00659	drug
